-0.415, -0.987, 2.793, 0.000, 0.996, 0.789
-0.349, -1.006, 2.846, 0.000, 0.996, 0.840
-0.278, -1.020, 2.885, 0.000, 0.996, 0.879
-0.206, -1.032, 2.920, 0.000, 0.996, 0.914
-0.130, -1.022, 2.891, 0.000, 0.996, 0.887
-0.056, -1.030, 2.914, 0.000, 0.996, 0.910
0.019, -1.068, 3.022, 0.000, 0.973, 0.996
0.096, -1.059, 2.996, 0.000, 0.996, 0.988
0.175, -1.070, 3.028, 0.000, 0.965, 0.996
0.258, -1.089, 3.081, 0.000, 0.914, 0.996
0.337, -1.089, 3.082, 0.000, 0.914, 0.996
0.423, -1.102, 3.119, 0.000, 0.875, 0.996
0.507, -1.108, 3.135, 0.000, 0.859, 0.996
0.606, -1.138, 3.219, 0.000, 0.777, 0.996
0.593, -0.976, 2.761, 0.000, 0.996, 0.754
0.640, -0.935, 2.645, 0.000, 0.996, 0.641
0.691, -0.908, 2.568, 0.000, 0.996, 0.562
0.732, -0.872, 2.467, 0.000, 0.996, 0.461
0.771, -0.839, 2.373, 0.000, 0.996, 0.371
0.812, -0.812, 2.297, 0.000, 0.996, 0.293
0.853, -0.788, 2.229, 0.000, 0.996, 0.227
0.887, -0.760, 2.150, 0.000, 0.996, 0.148
0.921, -0.735, 2.080, 0.000, 0.996, 0.078
0.958, -0.715, 2.022, 0.000, 0.996, 0.020
0.989, -0.691, 1.956, 0.043, 0.996, 0.000
1.033, -0.678, 1.919, 0.078, 0.996, 0.000
-1.415, -0.863, 2.550, 0.000, 0.996, 0.547
-1.375, -0.892, 2.634, 0.000, 0.996, 0.629
-1.257, -0.869, 2.567, 0.000, 0.996, 0.562
-1.175, -0.868, 2.564, 0.000, 0.996, 0.559
-1.117, -0.884, 2.611, 0.000, 0.996, 0.605
-1.044, -0.889, 2.626, 0.000, 0.996, 0.621
-0.969, -0.891, 2.632, 0.000, 0.996, 0.629
-0.902, -0.900, 2.659, 0.000, 0.996, 0.656
-0.823, -0.896, 2.647, 0.000, 0.996, 0.645
-0.769, -0.920, 2.717, 0.000, 0.996, 0.711
-0.690, -0.915, 2.702, 0.000, 0.996, 0.695
-0.630, -0.934, 2.759, 0.000, 0.996, 0.754
-0.550, -0.925, 2.732, 0.000, 0.996, 0.727
-0.485, -0.938, 2.772, 0.000, 0.996, 0.766
-0.418, -0.953, 2.814, 0.000, 0.996, 0.809
-0.353, -0.976, 2.883, 0.000, 0.996, 0.879
-0.277, -0.973, 2.873, 0.000, 0.996, 0.867
-0.208, -0.994, 2.937, 0.000, 0.996, 0.930
-0.130, -0.981, 2.898, 0.000, 0.996, 0.891
-0.057, -1.002, 2.959, 0.000, 0.996, 0.953
0.019, -1.019, 3.011, 0.000, 0.984, 0.996
0.098, -1.029, 3.040, 0.000, 0.953, 0.996
0.178, -1.043, 3.081, 0.000, 0.914, 0.996
0.259, -1.050, 3.102, 0.000, 0.891, 0.996
0.339, -1.049, 3.100, 0.000, 0.895, 0.996
0.423, -1.057, 3.121, 0.000, 0.875, 0.996
0.511, -1.069, 3.159, 0.000, 0.836, 0.996
0.607, -1.091, 3.223, 0.000, 0.773, 0.996
0.591, -0.931, 2.751, 0.000, 0.996, 0.746
0.634, -0.887, 2.621, 0.000, 0.996, 0.617
